r: 28, b: 2, w: 5
r: 29, b: 1, w: 5
r: 1, b: 30, w: 4
r: 2, b: 29, w: 4
r: 3, b: 28, w: 4
r: 4, b: 27, w: 4
r: 5, b: 26, w: 4
r: 6, b: 25, w: 4
r: 7, b: 24, w: 4
r: 8, b: 23, w: 4
r: 9, b: 22, w: 4
r: 10, b: 21, w: 4
r: 11, b: 20, w: 4
r: 12, b: 19, w: 4
r: 13, b: 18, w: 4
r: 14, b: 17, w: 4
r: 15, b: 16, w: 4
r: 16, b: 15, w: 4
r: 17, b: 14, w: 4
r: 18, b: 13, w: 4
r: 19, b: 12, w: 4
r: 20, b: 11, w: 4
r: 21, b: 10, w: 4
r: 22, b: 9, w: 4
r: 23, b: 8, w: 4
r: 24, b: 7, w: 4
r: 25, b: 6, w: 4
r: 26, b: 5, w: 4
r: 27, b: 4, w: 4
r: 28, b: 3, w: 4
r: 29, b: 2, w: 4
r: 30, b: 1, w: 4
r: 1, b: 31, w: 3
r: 2, b: 30, w: 3
r: 3, b: 29, w: 3
r: 4, b: 28, w: 3
r: 5, b: 27, w: 3
r: 6, b: 26, w: 3
r: 7, b: 25, w: 3
r: 8, b: 24, w: 3
r: 9, b: 23, w: 3
r: 10, b: 22, w: 3
r: 11, b: 21, w: 3
r: 12, b: 20, w: 3
r: 13, b: 19, w: 3
r: 14, b: 18, w: 3
r: 15, b: 17, w: 3
r: 16, b: 16, w: 3
r: 17, b: 15, w: 3
r: 18, b: 14, w: 3
r: 19, b: 13, w: 3
r: 20, b: 12, w: 3
r: 21, b: 11, w: 3
r: 22, b: 10, w: 3
r: 23, b: 9, w: 3
r: 24, b: 8, w: 3
r: 25, b: 7, w: 3
r: 26, b: 6, w: 3
r: 27, b: 5, w: 3
r: 28, b: 4, w: 3
r: 29, b: 3, w: 3
r: 30, b: 2, w: 3
r: 31, b: 1, w: 3
r: 1, b: 32, w: 2
r: 2, b: 31, w: 2
r: 3, b: 30, w: 2
r: 4, b: 29, w: 2
r: 5, b: 28, w: 2
r: 6, b: 27, w: 2
r: 7, b: 26, w: 2
r: 8, b: 25, w: 2
r: 9, b: 24, w: 2
r: 10, b: 23, w: 2
r: 11, b: 22, w: 2
r: 12, b: 21, w: 2
r: 13, b: 20, w: 2
r: 14, b: 19, w: 2
r: 15, b: 18, w: 2
r: 16, b: 17, w: 2
r: 17, b: 16, w: 2
r: 18, b: 15, w: 2
r: 19, b: 14, w: 2
r: 20, b: 13, w: 2
r: 21, b: 12, w: 2
r: 22, b: 11, w: 2
r: 23, b: 10, w: 2
r: 24, b: 9, w: 2
r: 25, b: 8, w: 2
r: 26, b: 7, w: 2
r: 27, b: 6, w: 2
r: 28, b: 5, w: 2
r: 29, b: 4, w: 2
r: 30, b: 3, w: 2
r: 31, b: 2, w: 2
r: 32, b: 1, w: 2
r: 1, b: 33, w: 1
r: 2, b: 32, w: 1
r: 3, b: 31, w: 1
r: 4, b: 30, w: 1
r: 5, b: 29, w: 1
r: 6, b: 28, w: 1
r: 7, b: 27, w: 1
